epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1588.87,1.23646,2.7629,1.27537,1.27494,0.43656,0.42743,0.38751,0.21665,0.38493,0.37688,0.32258,0.13863,1.57228,3.27289,1.70201,1.51963,0.000444994,0.000444994,0.000444994
106,1603.27,1.2293,2.68823,1.26026,1.28455,0.43649,0.43736,0.37287,0.20868,0.40022,0.3956,0.31298,0.13174,1.59722,3.28806,1.71087,1.55097,0.000428093,0.000428093,0.000428093
107,1619.89,1.26421,2.67742,1.23063,1.27052,0.46821,0.42418,0.38021,0.2078,0.42319,0.3956,0.3234,0.12829,1.58964,3.32698,1.72436,1.54532,0.000411447,0.000411447,0.000411447
108,1634.72,1.24848,2.8056,1.26204,1.28132,0.45115,0.42455,0.39323,0.21854,0.39393,0.40879,0.33699,0.13742,1.58564,3.30559,1.69196,1.52635,0.000395064,0.000395064,0.000395064
109,1651.34,1.24795,2.73907,1.25048,1.27601,0.45977,0.43516,0.4006,0.23024,0.43516,0.38681,0.35216,0.14656,1.56932,3.33865,1.66772,1.51189,0.00037895,0.00037895,0.00037895
110,1665.87,1.22329,2.70238,1.20408,1.25944,0.457,0.43077,0.39659,0.22838,0.41984,0.38022,0.33783,0.13992,1.58189,3.25539,1.68138,1.52831,0.000363114,0.000363114,0.000363114
111,1682.77,1.19895,2.69711,1.16692,1.25317,0.50163,0.38049,0.4084,0.22693,0.50057,0.32161,0.32792,0.13951,1.59777,3.28313,1.70223,1.55001,0.000347561,0.000347561,0.000347561
112,1697.9,1.1862,2.64376,1.20296,1.23623,0.54817,0.36044,0.39454,0.22078,0.5109,0.33407,0.33305,0.13945,1.59724,3.37823,1.73182,1.55261,0.000332298,0.000332298,0.000332298
113,1712.49,1.23173,2.65416,1.18173,1.24785,0.52429,0.38022,0.39648,0.22309,0.47902,0.34725,0.33132,0.14048,1.59681,3.34841,1.73413,1.55089,0.000317333,0.000317333,0.000317333
114,1729.03,1.16155,2.5543,1.13594,1.23032,0.46923,0.40879,0.38853,0.22033,0.43625,0.37756,0.33532,0.14071,1.58047,3.31174,1.70157,1.53476,0.000302672,0.000302672,0.000302672
115,1743.54,1.19277,2.6831,1.18275,1.24479,0.44823,0.40879,0.3763,0.21356,0.43627,0.36923,0.31328,0.13094,1.60461,3.35218,1.70918,1.54898,0.000288321,0.000288321,0.000288321
116,1759.6,1.23624,2.73003,1.21418,1.27142,0.46125,0.41758,0.3796,0.21495,0.44237,0.35604,0.31197,0.13509,1.61352,3.32132,1.71216,1.54976,0.000274287,0.000274287,0.000274287
117,1773.91,1.17699,2.60605,1.15743,1.22446,0.48379,0.40659,0.38827,0.21975,0.4498,0.37802,0.33401,0.13899,1.60125,3.29231,1.71303,1.55532,0.000260575,0.000260575,0.000260575
118,1791.78,1.18905,2.55742,1.1487,1.2365,0.55,0.38242,0.39773,0.22815,0.49529,0.3494,0.3365,0.14419,1.59537,3.3631,1.69372,1.54965,0.000247192,0.000247192,0.000247192
119,1806.2,1.20745,2.67152,1.16587,1.25342,0.49837,0.39121,0.38142,0.219,0.44429,0.37955,0.32529,0.13443,1.6035,3.32419,1.72616,1.55827,0.000234143,0.000234143,0.000234143
120,1823.29,1.17016,2.57814,1.15096,1.23794,0.48773,0.40595,0.39098,0.22135,0.43756,0.36419,0.32705,0.13451,1.61285,3.37221,1.71321,1.57501,0.000221435,0.000221435,0.000221435
121,1837.54,1.14706,2.51376,1.10192,1.21981,0.46291,0.40879,0.38167,0.21077,0.41872,0.36923,0.31886,0.1305,1.63007,3.40198,1.7404,1.57976,0.000209073,0.000209073,0.000209073
122,1852.01,1.18242,2.61552,1.13001,1.23791,0.4311,0.43956,0.37807,0.20952,0.41455,0.37802,0.3085,0.13035,1.63085,3.36924,1.73245,1.5801,0.000197062,0.000197062,0.000197062
123,1869.19,1.19964,2.64691,1.14844,1.26255,0.45404,0.42637,0.37957,0.21404,0.43627,0.38242,0.31815,0.13314,1.60087,3.33825,1.7096,1.5477,0.000185408,0.000185408,0.000185408
124,1883.39,1.17478,2.63082,1.13168,1.23603,0.42882,0.42571,0.38798,0.22102,0.40925,0.38681,0.32616,0.13663,1.59881,3.33221,1.69455,1.54787,0.000174115,0.000174115,0.000174115
125,1899.01,1.15697,2.51988,1.11968,1.23622,0.50976,0.36923,0.39564,0.22524,0.47925,0.34505,0.33407,0.1423,1.60672,3.35894,1.70818,1.56283,0.000163189,0.000163189,0.000163189
